,freq
972,691000000000000.0
973,692000000000000.0
974,693000000000000.0
975,694000000000000.0
976,695000000000000.0
977,696000000000000.0
978,698000000000000.0
979,699000000000000.0
980,700000000000000.0
981,701000000000000.0
982,702000000000000.0
983,705000000000000.0
984,707000000000000.0
985,708000000000000.0
986,712000000000000.0
987,713000000000000.0
988,714000000000000.0
989,717000000000000.0
990,720000000000000.0
991,729000000000000.0
992,731000000000000.0
993,735000000000000.0
994,737000000000000.0
995,740000000000000.0
996,744000000000000.0
997,755000000000000.0
998,756000000000000.0
999,762000000000000.0
1000,765000000000000.0
1001,770000000000000.0
1002,771000000000000.0
1003,775000000000000.0
1004,777000000000000.0
1005,788000000000000.0
1006,790000000000000.0
1007,794000000000000.0
1008,799000000000000.0
1009,801000000000000.0
1010,803000000000000.0
1011,804000000000000.0
1012,810000000000000.0
1013,818000000000000.0
1014,819000000000000.0
1015,820000000000000.0
1016,821000000000000.0
1017,822000000000000.0
1018,825000000000000.0
1019,832000000000000.0
1020,833000000000000.0
1021,836000000000000.0
1022,837000000000000.0
1023,838000000000000.0
1024,840000000000000.0
1025,843000000000000.0
1026,844000000000000.0
1027,847000000000000.0
1028,853000000000000.0
1029,855000000000000.0
1030,856000000000000.0
1031,863000000000000.0
1032,865000000000000.0
1033,867000000000000.0
1034,869000000000000.0
1035,870000000000000.0
1036,871000000000000.0
1037,875000000000000.0
1038,881000000000000.0
1039,882000000000000.0
1040,885000000000000.0
1041,889000000000000.0
1042,891000000000000.0
1043,892000000000000.0
1044,894000000000000.0
1045,896000000000000.0
1046,897000000000000.0
1047,903000000000000.0
1048,908000000000000.0
1049,910000000000000.0
1050,952000000000000.0
1051,998000000000000.0
1052,999000000000000.0
1053,1000000000000000.0
1054,1010000000000000.0
1055,1020000000000000.0
1056,1030000000000000.0
1057,1070000000000000.0
1058,1100000000000000.0
1059,1110000000000000.0
1060,1140000000000000.0
1061,1150000000000000.0
1062,1200000000000000.0
1063,1210000000000000.0
1064,1220000000000000.0
1065,1260000000000000.0
1066,1270000000000000.0
1067,1280000000000000.0
1068,1290000000000000.0
1069,1300000000000000.0
1070,1310000000000000.0
1071,1320000000000000.0
1072,1330000000000000.0
1073,1340000000000000.0
1074,1360000000000000.0
1075,1410000000000000.0
1076,1450000000000000.0
1077,1470000000000000.0
1078,1480000000000000.0
1079,1500000000000000.0
1080,1550000000000000.0
1081,1560000000000000.0
1082,1570000000000000.0
1083,1580000000000000.0
1084,1610000000000000.0
1085,1620000000000000.0
1086,1650000000000000.0
1087,1670000000000000.0
1088,1680000000000000.0
1089,1760000000000000.0
1090,1820000000000000.0
1091,1830000000000000.0
1092,1860000000000000.0
1093,1920000000000000.0
1094,1930000000000000.0
1095,1940000000000000.0
1096,1950000000000000.0
1097,1960000000000000.0
1098,1970000000000000.0
1099,1980000000000000.0
1100,2020000000000000.0
1101,2070000000000000.0
1102,2140000000000000.0
1103,2220000000000000.0
1104,2250000000000000.0
1105,2300000000000000.0
1106,2340000000000000.0
1107,2370000000000000.0
1108,2380000000000000.0
1109,2420000000000000.0
1110,2460000000000000.0
1111,2470000000000000.0
1112,2510000000000000.0
1113,2550000000000000.0
1114,2610000000000000.0
1115,2700000000000000.0
1116,2770000000000000.0
1117,2900000000000000.0
1118,2910000000000000.0
1119,2940000000000000.0
1120,3000000000000000.0
1121,4.84e+16
1122,8.46e+16
1123,9.67e+16
1124,1.36e+17
1125,1.45e+17
1126,1.57e+17
1127,1.58e+17
1128,1.63e+17
1129,1.81e+17
1130,2.22e+17
1131,2.29e+17
1132,2.42e+17
1133,2.54e+17
1134,2.66e+17
1135,2.78e+17
1136,2.84e+17
1137,2.9e+17
1138,3.02e+17
1139,3.03e+17
1140,3.14e+17
1141,3.15e+17
1142,3.25e+17
1143,3.26e+17
1144,3.39e+17
1145,3.63e+17
1146,3.77e+17
1147,3.87e+17
1148,3.99e+17
1149,4.42e+17
1150,4.59e+17
1151,4.79e+17
1152,4.84e+17
1153,5.25e+17
