,band,freq,unit
316,g (SDSS) AB,621000000000000.0,mag
317,z (SDSS) AB,330000000000000.0,mag
318,a (BATC),889000000000000.0,mag
319,c (BATC),713000000000000.0,mag
320,d (BATC),659000000000000.0,mag
321,e (BATC),615000000000000.0,mag
322,f (BATC),571000000000000.0,mag
323,g (BATC),518000000000000.0,mag
324,h (BATC),494000000000000.0,mag
325,i (BATC),447000000000000.0,mag
326,k (BATC),398000000000000.0,mag
327,m (BATC),374000000000000.0,mag
328,n (BATC),352000000000000.0,mag
329,o (BATC),327000000000000.0,mag
330,p (BATC),308000000000000.0,mag
331,b (BATC),770000000000000.0,mag
332,F475W (HST),630000000000000.0,mag
333,B (HST) (Vega),694000000000000.0,mag
334,V (HST) (Vega),551000000000000.0,mag
335,I (HST) (Vega),372000000000000.0,mag
336,W1 (WISE),89500000000000.0,mag
337,0.1-100 GeV (Fermi),1.21e+25,erg/cm^2^/s
338,1482A (IUE),2020000000000000.0,ergs cm^-2 s^-1 A^-1
339,1913A (IUE),1570000000000000.0,ergs cm^-2 s^-1 A^-1
340,2373A (IUE),1260000000000000.0,ergs cm^-2 s^-1 A^-1
341,2700A (IUE),1110000000000000.0,ergs cm^-2 s^-1 A^-1
342,H{alpha}+[NII],456000000000000.0,log(ergs/cm^2^/s)
343,I (Johnson),333000000000000.0,mag
344,J (Johnson),242000000000000.0,mag
345,L (Johnson),84700000000000.0,mag
346,5 microns,62500000000000.0,Jy
347,23.7 microns (MIPS),12600000000000.0,Jy
348,FIR (IRAS),3630000000000.0,W m^-2^
349,0.2-1 keV (XMM),1.45e+17,ergs/s/cm^2^
350,14-195 keV (Swift),2.53e+19,erg/s/cm^2^
351,14-150 keV (Swift),1.98e+19,erg/cm^2^/s
352,15-55 keV (Swift),8.46e+18,erg/cm^2^/s
353,SIV (VLT),28600000000000.0,milliJy
354,PAH2 (VLT),26600000000000.0,milliJy
355,2.0-4.0 keV Chandra,7.25e+17,erg/cm^2^/s
356,0.35-1.0 keV Chandra,1.63e+17,erg/cm^2^/s
357,CCD grism r_4,450000000000000.0,mag
358,0.3-3 keV (XMM),3.99e+17,ergs s^-1^ cm^-2^
359,1.5 GHz (VLA),1500000000.0,milliJy
360,8.48 GHz,8480000000.0,milliJy
361,4.99 GHz (VLBA),4990000000.0,milliJy
362,0.3-2 keV (XMM),2.78e+17,erg/cm^2^/s
363,I (Gunn),366000000000000.0,mag
364,3-10 keV (XMM),1.57e+18,erg/cm^2^/s
365,17-60 keV (INTEGRAL),9.31e+18,erg s^-1^ cm^-2^
366,0.7-7 keV (ASCA),9.31e+17,ergs/s/cm^2^
367,0.7-2 keV (ASCA),3.26e+17,ergs/s/cm^2^
368,u (KPNO),853000000000000.0,mag
369,U (WIYN),822000000000000.0,mag
370,[Ne III] 3968,756000000000000.0,erg/cm^2^/s
371,B (WIYN),701000000000000.0,mag
372,V (WIYN),555000000000000.0,mag
373,i (KPNO),388000000000000.0,mag
374,I (WIYN),360000000000000.0,mag
375,[S III] 0.907 (WHT),331000000000000.0,erg/cm^2^/s
376,z (KPNO),319000000000000.0,mag
377,[C I] 0.982 (WHT),305000000000000.0,erg/cm^2^/s
378,[C I] 0.985 (WHT),304000000000000.0,erg/cm^2^/s
379,[S VIII] 0.991 (WHT),303000000000000.0,erg/cm^2^/s
380,He II 1.012 (WHT),296000000000000.0,erg/cm^2^/s
381,[S II] 1.032 (WHT),290000000000000.0,erg/cm^2^/s
382,[P II] 1.147 (WHT),261000000000000.0,erg/cm^2^/s
383,He II 1.163 (WHT),258000000000000.0,erg/cm^2^/s
384,[P II] 1.188 (WHT),252000000000000.0,erg/cm^2^/s
385,F_J (total),241000000000000.0,log milliJy
386,O I 1.317 (WHT),228000000000000.0,erg/cm^2^/s
387,[Fe II] 1.321 (WHT),227000000000000.0,erg/cm^2^/s
388,[Fe II] 1.533 (WHT),196000000000000.0,erg/cm^2^/s
